Town,Date,Temp,Humidity,Rainfall,WindSpeed,Condition
Bamenda,2024-06-16,24.5,56,17.4,11.5,Rainy
Ngaoundéré,2024-01-07,29.9,78,7.7,5.6,Sunny
Buea,2024-03-21,23.8,76,21.4,1.1,Sunny
Douala,2024-06-23,24.9,82,18.9,2.0,Rainy
Garoua,2024-06-25,31.4,72,38.1,7.0,Stormy
Maroua,2024-01-22,22.3,51,16.4,11.6,Stormy
Buea,2024-01-14,25.2,82,44.7,14.8,Rainy
Yaoundé,2024-01-20,23.8,97,47.5,17.1,Sunny
Bamenda,2024-06-13,25.3,91,13.6,8.3,Sunny
Buea,2024-02-21,23.6,92,18.4,6.6,Rainy
Douala,2024-02-23,33.6,83,25.5,19.7,Stormy
Ebolowa,2024-02-09,29.9,90,45.6,1.0,Rainy
Bertoua,2024-05-29,31.4,74,39.7,18.8,Sunny
Bamenda,2024-06-25,27.4,77,2.3,1.7,Rainy
Bamenda,2024-03-25,28.6,63,5.9,6.3,Cloudy
Ebolowa,2024-01-11,30.7,55,8.0,17.7,Cloudy
Ngaoundéré,2024-06-15,29.1,65,33.1,7.8,Rainy
Ebolowa,2024-03-31,34.4,98,7.8,16.7,Rainy
Ngaoundéré,2024-05-08,33.6,70,49.4,16.5,Rainy
Maroua,2024-06-28,32.4,99,43.7,9.8,Stormy
Kribi,2024-03-25,34.5,59,39.6,6.8,Sunny
Ebolowa,2024-02-09,29.6,65,2.5,9.1,Cloudy
Garoua,2024-06-22,26.0,72,39.1,1.3,Sunny
Yaoundé,2024-03-15,31.1,83,39.5,17.4,Stormy
Ebolowa,2024-03-27,26.9,73,12.3,15.5,Sunny
Bertoua,2024-02-26,33.2,75,0.3,5.0,Stormy
Douala,2024-01-12,26.4,54,24.7,1.5,Rainy
Ebolowa,2024-04-17,34.7,83,34.0,8.3,Stormy
Kribi,2024-01-23,31.4,91,41.7,16.8,Cloudy
Douala,2024-06-25,23.5,77,44.7,2.4,Cloudy
Bertoua,2024-06-19,22.1,52,34.8,8.6,Stormy
